"id","a","b"
"dandang","dandang"
"dando","denda"
"danga","dengar"
"dangan","dengan"
"dangau","dangau"
"dangiang","desing"
"dangka","dangkal"
"dangkih","dengki"
"dangkuang","gebuk"
"danguang","denguang"
"danguih","dengus"
"dansa","dansa"
"dantam","dentam"
"danyuik","debar denyut"
"dapek","dapat mampu sanggup"
"dapua","dapur"
"darah","darah"
"darai","derai"
"darajaik","derajat"
"darak","derak"
"darap","derap"
"dareh","deras"
"darek","darat"
"dari","dari"
"dariang","dering"
"daripado","ketimbang"
"daro","dara"
"daruik","deru"
"darurai","darurat"
"dasar","dasar"
"dasi","dasi"
"dasia","desir"
"data","datar"
"datak","degup detak"
"datang","datang"
"datiak","detik"
"datuak","datuk"
"daulaik","daulat"
"daulu","dahulu dulu"
"daun","daun"
"dayo","daya"
"dayuang","dayung"
"debaik","debat"
"dek","kenapa saking"
"dekulah","gara-gara"
"demi","demi"
"den","ku"
"denah","denah"
"dendang","dendang"
"dendeang","dendeng"
"depo","depa"
"desember","desember"
"deta","destar"
"dewan","dewan"
"dewasa","dewasa"
"di sinan","nun"
"diabuih","direbus"
"diadokan","diadakan dilangsungkan"
"diago","ditawar"
"diak","dik"
"diam","diam"
"diam barisuak","lusa"
"diampehkan","diempaskan"
"diansua","dicicil"
"diantuak","diantuk"
"dianyuikkan","dihanyutkan"
"diapik","diapit"
"diapuih","dahapus"
"diaromaiki","dihormati disegani"
"diasuang","diasung"
"diatua","diatur"
"dibaco","dibaca"
"dibaka","dibakar"
"dibalah","dibelah"
"dibalanggu","dibelenggu"
"dibali","dibeli"
"dibantiang","dibanting"
"dibao","dibawa"
"dibatalkan","ditiadakan"
"dibekoik","diboikot"
"dibimbiang","dibimbing"
"dibonceang","dibonceng"
"dibongka","dibongkar"
"dibuek","dibuat"
"dibuekkan","dibuatkan"
"dibukak","dibuka"
"dibungkuih","dibungkus"
"dibunuah","dibunuh"
"dicabiak","dicabik"
"dicakiak","dicekik"
"dicampua","dicampur"
"dicilok","dicuri"
"dicinto","dicinta"
"dicubik","dicubit"
"dicubo","dicoba"
"dicukua","dicukur"
"didakaiki","didekati"
"didiah","didih"
"didik","didik"
"didukuang","didukung"
"digabuang","digabung"
"digaleda","digeledah"
"digampua","digempur"
"digauik","digaruk"
"digigik","digigit"
"digoreang","digoreng"
"digundua","digundul"
"digunokan","digunakan"
"diguntiang","digunting"
"diguriah","digores"
"digusua","digusur"
"diibur","dihibur"
"diilia","dihilir"
"diimpok","ditimpa"
"diino","dihina"
"diiraukan","dihirauka"
"diirik","digiring"
"dijaik","dijahit"
"dijalehkan","dijelaskan"
"dijapuik","diambil dijemput"
"dijilik","dijilid"
"dijunjuang","dijunjung"
"dikabek","dikebat"
"dikabekkan","ditambatkan"
"dikabuang","dipenggal"
"dikaja","dikejar disusul"
"dikakang","dikekang"
"dikaluakan","dikeluarkan"
"dikamehi","dikemasi"
"dikarajokan","dikrjakan"
"dikasin","dikebiri"
"dikatokan","dikatakan diutarakan"
"dikawa","didampingi"
"dikik","dikit"
"dikinyam","dicicip"
"diktat","diktat"
"diktator","diktator"
"dikuciakan","dikucilkan"
"dikungkuang","dikungkung"
"dikuruang","dikurung"
"dilando","dilanda"
"dilanjuikkan","dilanjutkan"
"dilantiak","dilantik"
"dilatakkan","ditaruh"
"dilatiah","dilatih"
"dilewakan","dicanangkan"
"dilibaikkan","dilibatkan"
"dilipek","dilipat"
"dilipuiki","diliputi"
"dilukih","dilukis"
"dilulua","ditelan"
"dima","dimana dimana"
